,month,metric_total,topic_id,metric
4,2019_05_01,5.0,2,activities_created
5,2019_07_01,3.0,2,activities_created
6,2019_08_01,3.0,2,activities_created
7,2019_09_01,2.0,2,activities_created
8,2019_10_01,2.0,2,activities_created
9,2019_11_01,2.0,2,activities_created
10,2019_12_01,1.0,2,activities_created
11,2020_01_01,2.0,2,activities_created
12,2020_02_01,4.0,2,activities_created
13,2020_03_01,20.0,2,activities_created
14,2020_04_01,28.0,2,activities_created
15,2020_05_01,39.0,2,activities_created
16,2020_06_01,73.0,2,activities_created
17,2020_07_01,114.0,2,activities_created
18,2020_08_01,93.0,2,activities_created
19,2020_09_01,52.0,2,activities_created
20,2020_10_01,16.0,2,activities_created
21,2020_11_01,7.0,2,activities_created
0,2019_01_01,6.0,2,total_sellers
1,2019_02_01,8.0,2,total_sellers
2,2019_03_01,8.0,2,total_sellers
3,2019_04_01,10.0,2,total_sellers
4,2019_05_01,10.0,2,total_sellers
5,2019_06_01,8.0,2,total_sellers
6,2019_07_01,8.0,2,total_sellers
7,2019_08_01,7.0,2,total_sellers
8,2019_09_01,10.0,2,total_sellers
9,2019_10_01,10.0,2,total_sellers
10,2019_11_01,8.0,2,total_sellers
11,2019_12_01,7.0,2,total_sellers
12,2020_01_01,13.0,2,total_sellers
13,2020_02_01,9.0,2,total_sellers
14,2020_03_01,29.0,2,total_sellers
15,2020_04_01,39.0,2,total_sellers
16,2020_05_01,55.0,2,total_sellers
17,2020_06_01,79.0,2,total_sellers
18,2020_07_01,121.0,2,total_sellers
19,2020_08_01,129.0,2,total_sellers
20,2020_09_01,129.0,2,total_sellers
21,2020_10_01,96.0,2,total_sellers
22,2020_11_01,91.0,2,total_sellers
23,2020_12_01,26.0,2,total_sellers
24,,315.0,2,total_sellers
0,2019-09-01,2.0,3,total_enrollments
1,2019-10-01,5.0,3,total_enrollments
2,2019-11-01,6.0,3,total_enrollments
3,2019-12-01,6.0,3,total_enrollments
4,2020-01-01,13.0,3,total_enrollments
5,2020-02-01,16.0,3,total_enrollments
6,2020-03-01,236.0,3,total_enrollments
7,2020-04-01,622.0,3,total_enrollments
8,2020-05-01,1001.0,3,total_enrollments
9,2020-06-01,1163.0,3,total_enrollments
10,2020-07-01,1751.0,3,total_enrollments
11,2020-08-01,2681.0,3,total_enrollments
12,2020-09-01,2102.0,3,total_enrollments
13,2020-10-01,1764.0,3,total_enrollments
14,2020-11-01,1778.0,3,total_enrollments
15,2020-12-01,102.0,3,total_enrollments
16,,0.0,3,total_enrollments
0,2019_09_01,2.0,3,new_buyers
1,2019_10_01,5.0,3,new_buyers
2,2019_11_01,5.0,3,new_buyers
3,2019_12_01,6.0,3,new_buyers
4,2020_01_01,13.0,3,new_buyers
5,2020_02_01,13.0,3,new_buyers
6,2020_03_01,200.0,3,new_buyers
7,2020_04_01,417.0,3,new_buyers
8,2020_05_01,691.0,3,new_buyers
9,2020_06_01,873.0,3,new_buyers
10,2020_07_01,1332.0,3,new_buyers
11,2020_08_01,1996.0,3,new_buyers
